Time,Roller Count,Barcode,AC_X,AC_Y,AC_Z,GY_X,GY_Y,GY_Z,Pressure,Thermal,Trash
50:07.2,0,START,0.052734375,-0.0078125,0.985351563,-1.586914063,1.098632813,-1.525878906,101422,,
50:07.4,0,,0.053710938,-0.015625,1.002929688,-2.197265625,0.305175781,-0.48828125,101422,,
50:07.5,0,,0.048828125,-0.016601563,0.985351563,-1.098632813,0.854492188,-1.525878906,101422,,
50:07.7,0,,0.045898438,-0.012695313,0.983398438,-1.098632813,0.854492188,-1.525878906,101421,,
50:07.8,0,,0.0546875,-0.012695313,1.012695313,-2.319335938,1.220703125,-0.793457031,101421,,
50:08.0,0,,0.043945313,-0.008789063,0.991210938,-0.427246094,0.793457031,-1.525878906,101421,,
50:08.2,0,,0.045898438,-0.01171875,0.99609375,-0.793457031,0.244140625,-1.525878906,101421,,
50:08.2,0,,0.051757813,-0.016601563,0.99609375,-3.479003906,0.366210938,-1.342773438,101421,,
50:08.4,0,,0.045898438,-0.008789063,0.991210938,-0.9765625,0.48828125,-1.281738281,101421,,
50:08.5,0,,0.047851563,-0.016601563,0.998046875,-1.281738281,0.854492188,-1.281738281,101421,,
50:08.7,0,,0.045898438,0,0.995117188,-0.671386719,0.9765625,-1.525878906,101421,,
50:08.7,0,,0.051757813,-0.009765625,0.993164063,-2.563476563,0.305175781,-2.075195313,101421,,
50:08.9,0,,0.053710938,-0.013671875,0.999023438,-1.159667969,0.48828125,-1.708984375,101421,,
50:08.9,0,,0.049804688,-0.01171875,1.008789063,-1.586914063,1.037597656,-1.647949219,101421,,
50:09.0,0,,0.047851563,-0.002929688,1.005859375,-0.244140625,0.9765625,-1.281738281,101421,,
50:09.2,0,,0.053710938,-0.01171875,0.989257813,-3.234863281,0.793457031,-1.403808594,101421,,
50:09.4,0,,0.0546875,-0.016601563,1,-0.671386719,0.610351563,-1.159667969,101421,,
50:09.5,0,,0.040039063,-0.010742188,0.9921875,-2.380371094,0.244140625,-1.281738281,101421,,
50:09.6,0,,0.043945313,-0.005859375,1.008789063,0.244140625,0.305175781,-1.46484375,101421,,
50:09.7,0,,0.04296875,-0.01171875,0.978515625,-0.549316406,0.122070313,-0.9765625,101421,,
50:09.9,0,,0.049804688,-0.015625,1.014648438,-1.647949219,0.671386719,-1.098632813,101421,,
50:10.1,0,,0.048828125,-0.0078125,0.984375,-0.244140625,0.671386719,-1.586914063,101421,,
50:10.3,0,,0.048828125,-0.009765625,1.01171875,-0.427246094,0.854492188,-0.793457031,101421,,
50:10.5,0,,0.05078125,0,1.000976563,-1.647949219,1.037597656,-1.159667969,101421,,
50:10.6,0,,0.046875,-0.016601563,0.989257813,-2.380371094,1.220703125,-1.403808594,101421,,
50:10.8,0,,0.047851563,-0.01171875,0.985351563,-0.793457031,0.671386719,-0.915527344,101421,,
50:10.9,0,,0.052734375,-0.015625,0.995117188,-1.953125,0.9765625,-1.403808594,101421,,
50:11.0,0,,0.04296875,-0.004882813,0.983398438,-1.586914063,0,-1.098632813,101421,,
50:11.2,0,,0.052734375,-0.00390625,0.991210938,-0.732421875,0.854492188,-0.854492188,101421,,
50:11.4,0,,0.059570313,-0.002929688,0.986328125,-3.112792969,0.610351563,-0.549316406,101421,,
50:11.5,0,,0.044921875,-0.010742188,0.987304688,-3.295898438,0.48828125,-1.525878906,101421,,
50:11.6,0,,0.049804688,-0.018554688,1.005859375,-2.502441406,0.793457031,-1.281738281,101421,,
50:11.8,0,,0.055664063,-0.012695313,0.998046875,-1.525878906,0.48828125,-1.098632813,101421,,
50:11.9,0,,0.048828125,-0.005859375,0.989257813,-1.892089844,0.915527344,-1.220703125,101421,,
50:12.0,0,,0.044921875,-0.01953125,0.989257813,-2.258300781,0.671386719,-1.037597656,101421,,
50:12.1,0,,0.041015625,-0.013671875,0.989257813,0.244140625,0.671386719,-1.098632813,101421,,
