Time,ACC_X,ACC_Y,ACC_Z,GY_X,GY_Y,GY_Z,P
0.0,0.0400390625,-0.0029296875,0.9990234375,-0.9765625,0.54931640625,-0.732421875,101422
0.002,0.05078125,-0.017578125,0.990234375,-1.3427734375,0.30517578125,-1.52587890625,101422
0.004,0.0458984375,-0.0146484375,0.9951171875,-0.8544921875,0.8544921875,-1.0986328125,101422
0.006,0.0478515625,-0.0048828125,0.986328125,-0.9765625,0.9765625,-0.6103515625,101422
0.008,0.0517578125,-0.0107421875,0.99609375,-1.15966796875,0.732421875,-0.91552734375,101422
0.009,0.046875,-0.0009765625,0.9833984375,-1.708984375,1.0986328125,-1.52587890625,101422
0.011,0.04296875,-0.015625,0.994140625,-1.89208984375,0.8544921875,-1.15966796875,101422
0.013,0.048828125,-0.0107421875,0.990234375,-2.44140625,1.46484375,-0.732421875,101422
0.015,0.044921875,-0.0126953125,0.9912109375,-2.01416015625,0.48828125,-1.46484375,101422
0.017,0.04296875,-0.0126953125,0.9921875,-1.77001953125,1.28173828125,-0.91552734375,101422
0.019,0.0458984375,-0.01953125,1.005859375,-1.52587890625,0.18310546875,-1.28173828125,101422
0.022,0.0556640625,-0.0048828125,0.9990234375,-0.244140625,0.48828125,-1.28173828125,101422
0.024,0.0439453125,-0.0029296875,0.998046875,-0.1220703125,0.91552734375,-1.03759765625,101422
0.025,0.046875,-0.0126953125,0.9833984375,-1.03759765625,0.79345703125,-1.52587890625,101422
0.027,0.046875,-0.0126953125,0.98046875,-1.64794921875,0.91552734375,-0.732421875,101422
0.029,0.0419921875,-0.0048828125,0.9775390625,-2.9296875,0.48828125,-1.0986328125,101422
0.031,0.0419921875,-0.009765625,0.99609375,-3.0517578125,0.67138671875,-0.48828125,101422
0.033,0.048828125,-0.01953125,0.998046875,-3.0517578125,0.67138671875,-1.28173828125,101422
0.034,0.044921875,-0.0068359375,1.009765625,-2.13623046875,0.42724609375,-1.28173828125,101422
0.036,0.05078125,-0.0146484375,1.0029296875,-0.8544921875,0.732421875,-1.64794921875,101422
0.038,0.0439453125,-0.0107421875,1.0068359375,0.0,0.48828125,-0.9765625,101422
0.041,0.044921875,-0.0068359375,0.984375,-0.30517578125,0.91552734375,-0.6103515625,101422
0.043,0.0390625,-0.0126953125,0.9873046875,-0.91552734375,0.91552734375,-1.708984375,101422
0.045,0.0546875,-0.0126953125,0.9921875,-2.685546875,0.30517578125,-1.5869140625,101422
0.047,0.0517578125,-0.009765625,0.998046875,-3.0517578125,0.30517578125,-1.220703125,101422
0.049,0.0517578125,-0.013671875,0.9931640625,-2.50244140625,1.03759765625,-1.46484375,101422
0.052,0.04296875,-0.01953125,0.98046875,-1.46484375,1.0986328125,-1.46484375,101422
0.054,0.0458984375,-0.01171875,0.9970703125,-1.03759765625,1.40380859375,-1.28173828125,101422
0.056,0.0556640625,-0.0048828125,0.9951171875,-1.03759765625,0.9765625,-1.708984375,101422
0.058,0.0458984375,-0.0107421875,0.99609375,-0.42724609375,0.67138671875,-1.64794921875,101422
0.06,0.0517578125,-0.0126953125,0.9951171875,-0.48828125,0.732421875,-1.5869140625,101422
0.062,0.0439453125,-0.0185546875,0.98828125,-1.220703125,0.54931640625,-0.8544921875,101422
0.064,0.0458984375,-0.01171875,0.9755859375,-2.685546875,0.67138671875,-0.9765625,101422
0.066,0.0546875,-0.01171875,0.9990234375,-3.0517578125,0.54931640625,-1.64794921875,101422
0.068,0.0419921875,-0.0205078125,1.005859375,-3.35693359375,0.30517578125,-1.15966796875,101422
